"Job_Link","Title","Industry","Job_Category_parent","Job_Category","Salary_Mode","Min_Salary","Max_Salary","Skills","Job_Type","Work Arrangement","Education","Experience"
"https://glints.com/id/opportunities/jobs/1da94702-1ea1-4262-85d4-32e225aa9d6a","Power Platform Engineer","Information Technology and Services","Computer & Software","AI Engineer","MONTH","6000000","10000000","Microsoft PowerPoint, Power BI, Power automate, Artificial Intelligence, Power Apps","FULL_TIME","ONSITE","BACHELOR_DEGREE","1"
"https://glints.com/id/opportunities/jobs/1d8f9d9a-4fa3-45d3-ab30-77da7d5c07c7","Paid Internship (Magang Kerja dengan Gaji) Full-Time","Education Management","Administrative & HR","Administrative Staff","MONTH","1000000","1000001","Microsoft Excel, Administration, Google Sheets","FULL_TIME","ONSITE","HIGH_SCHOOL","0"
"https://glints.com/id/opportunities/jobs/1d8d695a-e379-46bc-87fc-407afd6e21cb","marketing alat kesehatan","Health, Wellness and Fitness","Marketing","Marketing Professionals","MONTH","3454827","10000000","Market Research, Marketing Communications, Marketing Strategy","FULL_TIME","HYBRID","HIGH_SCHOOL","1"
"https://glints.com/id/opportunities/jobs/1d78054b-e95b-44e8-8e76-112dba1630ca","Pimpinan produksi instalasi booth exhibition","Events Services","Manufacturing & Production","Production Team Leader","MONTH","4000000","5000000","Electrical Installation, Production Management, Creative Design","FULL_TIME","ONSITE","DIPLOMA","1"
"https://glints.com/id/opportunities/jobs/1cf2f611-461e-4e5c-86b9-9bb5b6b13f62","Maintenance Engineer","Logistics and Supply Chain","Mechanical Design & Manufacturing","Maintenance Engineer","MONTH","5000000","8000000","Mechanical Maintenance, Preventive Maintenance, Maintenance Engineering, Electrical Maintenance, Equipment Maintenance","FULL_TIME","ONSITE","SECONDARY_SCHOOL","1"
"https://glints.com/id/opportunities/jobs/1cec7ebf-0f80-418a-89ee-675faf7a6101","Tutor","Education Management","Education & Training","Tutor","MONTH","750000","","Customer Service, Classroom Management, Tutoring, Student Counseling, Communication Skills, Lesson Planning, Teaching","PART_TIME","HYBRID","DIPLOMA","0"
"https://glints.com/id/opportunities/jobs/1ceb1ffc-3dd1-4260-9c48-15c06ac0be9d","Guru Brain Academy Center Tasikmalaya - Ciawi","Education Management","Education & Training","Teacher","MONTH","1000000","2000000","Physics, Mathematics, Economic Law, Bahasa Indonesia, English Language","PART_TIME","ONSITE","BACHELOR_DEGREE","1"
"https://glints.com/id/opportunities/jobs/1ca0e6fe-6592-4c97-b965-3fa6e0cad464","Supervisor HR","Manufacturing","Human Resources","Human Resources Specialist & Assistant","MONTH","3000000","4000000","Microsoft Office, Administration, Recruitment, Payroll, Human Resource Development (HRD)","FULL_TIME","ONSITE","BACHELOR_DEGREE","1"
"https://glints.com/id/opportunities/jobs/1c83a346-dd3e-4047-ba95-11a5e347bd1a","Store Sales Advisor","Retail","Business Development & Sales","Sales Operations","MONTH","2750000","3000000","Teamwork, Sales Strategy, Hard Worker, Sales and Marketing, B2C Sales, Salesforce, Communication Skills, B2B Sales","CONTRACT","ONSITE","HIGH_SCHOOL","0"
"https://glints.com/id/opportunities/jobs/1c7db652-22d2-4c5f-89f4-073ba61ac6ad","Personal Assistant","Commercial Real Estate","Administrative & HR","Secretary","MONTH","6000000","8000000","Organizational Skills, Microsoft Office, Administration, Secretarial Skills, Scheduling, Communication Skills","FULL_TIME","ONSITE","HIGH_SCHOOL","1"
"https://glints.com/id/opportunities/jobs/1c124127-399a-4c63-bbb2-f953b1777afb","Tenaga Teknis Kefarmasian (TTK)","Hospital & Health Care","Healthcare","Pharmacy Clerk","MONTH","3900000","4200000","Customer Service, Communication Skills, Pharmacy, Teamwork, Dispensing, Medical and Healthcare","CONTRACT","ONSITE","DIPLOMA","1"
"https://glints.com/id/opportunities/jobs/1c028490-50f0-47d3-8950-ab2291fb6775","Accounting Staff","Retail","Accounting","Accountant","MONTH","3000000","4000000","Accounting, Income Tax, MYOB, Microsoft Excel, Bookkeeping","FULL_TIME","ONSITE","BACHELOR_DEGREE","1"
"https://glints.com/id/opportunities/jobs/1bbf8efa-f33e-4a16-8b70-cabc8f263d95","Content Creator","Retail","Marketing","Content Creator","MONTH","3800000","5700000","Instagram Ads, Capcut, Canva Design, Adobe Photoshop, Public Speaking, Adobe Premiere Pro, Figma","FULL_TIME","ONSITE","HIGH_SCHOOL","1"
"https://glints.com/id/opportunities/jobs/1bb0fd8c-435a-42b4-a66a-657560840f8c","Material Mixing Operator","Glass, Ceramics & Concrete","Mechanical Design & Manufacturing","Machine Operator","MONTH","2500000","3000000","Mixing, Machine Operator, Operator Formulasi","FULL_TIME","ONSITE","HIGH_SCHOOL","0"
